grade,n,defaults,obs_dr,pred_pd,population_pct,split
A1,0.0,0.0,0.0,0.0,0.0,TRAIN
A2,3867.0,42.0,0.010861132660977503,0.008632644130910364,0.02578,TRAIN
A3,21174.0,377.0,0.01780485501086238,0.017719935083225436,0.14116,TRAIN
B1,31940.0,1156.0,0.03619286161552912,0.03675790175759514,0.21293333333333334,TRAIN
B2,25377.0,1680.0,0.06620167868542381,0.0637764136261888,0.16918,TRAIN
B3,21556.0,2112.0,0.09797736129151977,0.09835667379752372,0.14370666666666668,TRAIN
C1,18739.0,2725.0,0.14541864560542184,0.14729043643837672,0.12492666666666667,TRAIN
C2,15025.0,3301.0,0.21970049916805323,0.22305358676884027,0.10016666666666667,TRAIN
C3,12322.0,4995.0,0.4053725044635611,0.40214917537446726,0.08214666666666667,TRAIN
A1,0.0,0.0,0.0,0.0,0.0,VAL
A2,1237.0,14.0,0.01131770412287793,0.008640775956076359,0.02474,VAL
A3,6925.0,138.0,0.01992779783393502,0.01767128352705029,0.1385,VAL
B1,10595.0,495.0,0.04672015101462954,0.03674222663643317,0.2119,VAL
B2,8576.0,628.0,0.0732276119402985,0.06384734562522852,0.17152,VAL
B3,7160.0,854.0,0.11927374301675978,0.09862162919265048,0.1432,VAL
C1,6330.0,1039.0,0.1641390205371248,0.14707664745075075,0.1266,VAL
C2,5153.0,1303.0,0.2528624102464584,0.22303192929494242,0.10306,VAL
C3,4024.0,1711.0,0.42519880715705766,0.4003538961288984,0.08048,VAL
A1,0.0,0.0,0.0,0.0,0.0,OOT
A2,1314.0,12.0,0.0091324200913242,0.008627803949683521,0.02628,OOT
A3,7136.0,185.0,0.02592488789237668,0.01771726797823151,0.14272,OOT
B1,10675.0,593.0,0.05555035128805621,0.03680749178332573,0.2135,OOT
B2,8413.0,769.0,0.09140615713776298,0.06372884437167807,0.16826,OOT
B3,7202.0,920.0,0.12774229380727575,0.09840998672194588,0.14404,OOT
C1,6160.0,1162.0,0.18863636363636363,0.14745190144367837,0.1232,OOT
C2,5041.0,1435.0,0.28466574092441976,0.2227527481647967,0.10082,OOT
C3,4059.0,1928.0,0.4749938408474994,0.39946756869519484,0.08118,OOT
