vintage,collateral_type,ead_eur,ltv_at_default,dpd_at_workout,workout_months,borrower_age,employment_status,unemployment_pct,hpi_yoy_pct,realised_lgd
2021H2,personal_secured,5939.21,0.7566,143,10.64,55,self_employed,7.9,5.6,0.39238
2023H1,auto,19368.22,0.8038,162,4.01,33,employed,7.6,-2.1,0.3963
2020H1,mortgage,119167.64,0.6111,194,19.01,46,employed,9.2,-1.5,0.11268
2020H1,mortgage,203221.08,0.9436,94,25.79,56,employed,9.2,-1.5,0.17325
2021H2,mortgage,88913.48,0.8144,161,21.03,41,employed,7.9,5.6,0.19298
2021H2,unsecured,4265.02,,101,5.36,48,unemployed,7.9,5.6,0.8999
2022H2,auto,21514.3,0.7374,202,7.98,58,self_employed,8.1,-4.4,0.77816
2021H2,unsecured,9730.69,,182,3.0,24,employed,7.9,5.6,0.7439
2023H2,auto,20191.66,0.5887,136,3.78,57,retired,7.2,1.8,0.40419
2019H1,mortgage,91163.99,0.606,163,29.89,62,employed,6.8,4.2,0.02263
2019H1,unsecured,21638.99,,144,9.53,30,employed,6.8,4.2,0.65277
2021H1,unsecured,5311.66,,194,11.58,37,self_employed,8.7,1.4,0.63415
2022H1,auto,14510.59,0.6326,165,14.69,32,unemployed,7.4,3.1,0.44395
2023H2,personal_secured,11790.07,0.8732,147,17.97,41,employed,7.2,1.8,0.54365
2021H1,auto,24605.67,0.9507,93,13.29,50,unemployed,8.7,1.4,0.33301
2023H2,mortgage,229904.62,0.8777,184,19.07,68,employed,7.2,1.8,0.42727
2020H1,auto,33012.83,0.6963,208,14.81,63,employed,9.2,-1.5,0.37906
2020H2,auto,25038.44,0.7128,183,21.22,29,self_employed,9.6,-3.2,0.52471
2019H1,mortgage,56606.5,0.6679,175,18.58,45,unemployed,6.8,4.2,0.21202
2023H1,mortgage,143247.39,0.6728,137,37.22,38,employed,7.6,-2.1,0.27071
2023H2,mortgage,235299.06,1.057,119,22.2,44,employed,7.2,1.8,0.32105
2023H2,unsecured,2147.89,,148,6.86,53,unemployed,7.2,1.8,0.77035
2022H2,mortgage,40217.24,0.7129,172,21.77,34,employed,8.1,-4.4,0.37799
2019H1,mortgage,118509.89,0.688,208,16.33,61,employed,6.8,4.2,0.04823
2020H2,mortgage,72819.03,0.7801,105,19.64,47,unemployed,9.6,-3.2,0.45589
2022H2,mortgage,42451.71,0.5448,179,25.93,52,employed,8.1,-4.4,0.397
2022H2,mortgage,212643.02,0.8451,126,19.2,61,employed,8.1,-4.4,0.45471
2020H2,auto,14312.27,0.7756,98,14.08,60,employed,9.6,-3.2,0.70623
2019H1,auto,19068.39,0.849,197,12.23,78,employed,6.8,4.2,0.48959
2022H1,unsecured,16729.35,,93,5.38,43,employed,7.4,3.1,0.81146
2021H1,mortgage,109327.49,0.7699,173,19.76,58,employed,8.7,1.4,0.33752
2021H1,mortgage,89024.07,0.744,168,21.21,41,self_employed,8.7,1.4,0.26318
2019H1,auto,18610.72,0.6789,159,3.07,52,employed,6.8,4.2,0.36674
2019H1,mortgage,157265.38,0.8464,165,17.22,39,unemployed,6.8,4.2,0.26994
2022H2,personal_secured,6176.2,0.9,137,18.95,31,self_employed,8.1,-4.4,0.77199
2020H1,mortgage,83467.28,0.8883,155,21.98,43,employed,9.2,-1.5,0.11221
2021H2,mortgage,206821.3,0.9875,203,19.38,52,unemployed,7.9,5.6,0.13909
2021H1,mortgage,66493.22,0.8223,162,14.02,38,employed,8.7,1.4,0.25416
2021H1,mortgage,52944.49,0.5886,204,28.94,39,employed,8.7,1.4,0.3047
2020H1,mortgage,102068.31,0.8538,209,25.37,26,employed,9.2,-1.5,0.51455
2020H2,mortgage,139262.22,0.5794,181,19.8,29,retired,9.6,-3.2,0.46184
2023H2,mortgage,36370.71,0.7356,151,20.71,48,retired,7.2,1.8,0.09047
2022H2,unsecured,4868.12,,150,11.33,70,employed,8.1,-4.4,0.60159
2022H1,mortgage,179194.25,0.7906,120,20.47,45,employed,7.4,3.1,0.12802
2019H2,auto,16305.39,1.0129,164,15.92,43,employed,6.9,3.8,0.53783
2021H1,unsecured,4650.69,,105,16.13,51,employed,8.7,1.4,0.71917
2020H1,mortgage,195682.7,0.9187,103,25.09,55,employed,9.2,-1.5,0.36605
2022H2,mortgage,317098.02,0.8004,208,15.8,22,employed,8.1,-4.4,0.17327
2021H2,unsecured,5766.81,,171,3.36,42,employed,7.9,5.6,0.81811
2020H2,unsecured,4610.18,,201,13.35,32,unemployed,9.6,-3.2,0.73808
2019H1,unsecured,4517.51,,160,10.44,40,employed,6.8,4.2,0.5667
2023H2,mortgage,120009.61,0.8115,126,29.91,35,self_employed,7.2,1.8,0.32059
2022H1,mortgage,188625.51,0.7589,93,20.2,43,unemployed,7.4,3.1,0.21542
2021H1,unsecured,18104.26,,148,8.95,60,unemployed,8.7,1.4,0.89769
2022H2,mortgage,101844.42,0.9862,111,29.86,54,unemployed,8.1,-4.4,0.59556
2019H1,mortgage,78290.88,0.7576,153,22.15,48,self_employed,6.8,4.2,0.14823
2023H1,mortgage,47099.88,0.8255,105,13.67,44,employed,7.6,-2.1,0.21777
2023H1,mortgage,81539.26,0.7558,191,25.98,50,unemployed,7.6,-2.1,0.41014
2021H2,auto,18698.35,0.6926,200,19.41,28,retired,7.9,5.6,0.16617
2019H1,unsecured,5635.08,,144,10.14,44,employed,6.8,4.2,0.73725
2020H1,unsecured,4683.82,,131,4.06,55,unemployed,9.2,-1.5,0.92085
2021H1,mortgage,46837.59,0.7501,204,17.26,39,unemployed,8.7,1.4,0.31045
2021H1,unsecured,20093.77,,111,3.0,43,unemployed,8.7,1.4,0.68335
2022H2,unsecured,10479.79,,188,12.11,70,employed,8.1,-4.4,0.69163
2021H1,mortgage,91374.51,0.6651,145,20.8,35,retired,8.7,1.4,0.15698
2022H1,mortgage,96608.15,0.8297,203,25.07,54,retired,7.4,3.1,0.10036
2021H2,unsecured,8828.98,,96,3.27,32,employed,7.9,5.6,0.69651
2023H1,mortgage,179755.32,0.7986,101,27.6,36,unemployed,7.6,-2.1,0.27539
2022H1,auto,24480.66,0.8403,132,13.43,47,employed,7.4,3.1,0.43663
2021H1,mortgage,48998.87,0.5396,203,21.3,35,employed,8.7,1.4,0.01203
2020H2,unsecured,4270.65,,123,7.67,45,employed,9.6,-3.2,0.85905
2023H2,unsecured,21221.21,,141,15.42,60,unemployed,7.2,1.8,0.75982
2022H2,auto,13833.94,0.792,128,9.42,34,self_employed,8.1,-4.4,0.47852
2022H2,unsecured,15850.03,,112,3.0,36,unemployed,8.1,-4.4,0.725
2022H1,mortgage,105034.1,0.9625,123,17.41,62,self_employed,7.4,3.1,0.15265
2020H1,mortgage,173436.76,0.6775,167,19.13,50,employed,9.2,-1.5,0.28916
2023H2,mortgage,367556.93,0.767,191,27.54,20,employed,7.2,1.8,0.09636
2021H1,auto,35371.19,0.7521,118,5.36,52,employed,8.7,1.4,0.43095
2020H1,unsecured,4812.07,,104,7.42,41,unemployed,9.2,-1.5,0.79624
2022H2,unsecured,7487.73,,143,13.25,54,employed,8.1,-4.4,0.8878
2019H2,mortgage,142016.7,0.8251,202,19.89,46,unemployed,6.9,3.8,0.05175
2019H2,mortgage,42160.71,0.6961,193,18.84,29,employed,6.9,3.8,0.02979
2020H1,personal_secured,9496.12,0.7822,150,8.21,52,self_employed,9.2,-1.5,0.54537
2021H1,auto,16317.89,0.6203,200,19.33,39,self_employed,8.7,1.4,0.31389
2023H2,mortgage,127576.24,0.8263,114,14.61,32,employed,7.2,1.8,0.09844
2023H1,personal_secured,13107.78,0.9356,176,13.12,75,employed,7.6,-2.1,0.63832
2023H2,mortgage,100853.17,0.8082,184,23.69,44,employed,7.2,1.8,0.12269
2023H1,unsecured,1318.18,,140,9.13,51,employed,7.6,-2.1,0.74051
2020H2,mortgage,75512.81,0.7534,192,27.01,27,employed,9.6,-3.2,0.43876
2023H2,unsecured,6351.53,,199,8.63,39,employed,7.2,1.8,0.38275
2022H1,mortgage,149917.62,0.697,107,29.24,43,retired,7.4,3.1,0.09582
2019H2,unsecured,9246.13,,91,6.57,42,employed,6.9,3.8,0.52896
2020H1,unsecured,5651.57,,96,3.0,30,employed,9.2,-1.5,0.79876
2022H1,unsecured,16662.73,,109,3.68,52,employed,7.4,3.1,0.85644
2019H2,auto,12127.05,0.4395,164,10.25,28,employed,6.9,3.8,0.12818
2023H1,unsecured,6476.34,,163,11.04,45,retired,7.6,-2.1,0.66536
2019H1,personal_secured,15757.27,1.1193,99,18.01,55,employed,6.8,4.2,0.80889
