vintage,product,credit_limit_eur,drawn_t0_eur,utilisation_t0,time_to_default_months,risk_score_t0,min_payment_ratio,borrower_age,unemployment_pct,gdp_yoy_pct,ccf_realised,utilisation_default,ead_eur
2023H1,line_of_credit,26156.47,7361.96,0.2815,6,0.345,0.2649,32,7.6,0.6,0.82667,0.8755,22898.83
2020H1,overdraft,2564.2,763.57,0.2978,11,0.3452,0.7117,54,9.2,-3.4,0.94926,0.9644,2472.83
2023H2,overdraft,2739.36,1003.45,0.3663,5,0.8062,0.605,54,7.2,1.4,0.86965,0.9174,2513.08
2020H1,line_of_credit,23990.76,11676.42,0.4867,5,0.6976,0.6,56,9.2,-3.4,0.67362,0.8325,19971.64
2020H2,overdraft,2470.42,180.9,0.0732,10,0.6001,0.529,44,9.6,-2.1,0.85058,0.8615,2128.32
2023H1,credit_card,5411.37,1968.06,0.3637,9,0.7533,0.2217,42,7.6,0.6,0.32053,0.5676,3071.76
2020H2,credit_card,6259.1,2415.64,0.3859,8,0.2467,0.4495,21,9.6,-2.1,0.47125,0.6753,4226.88
2020H2,credit_card,4262.46,1063.22,0.2494,8,0.2873,0.3987,41,9.6,-2.1,0.86014,0.895,3815.02
2020H1,line_of_credit,11825.32,6801.94,0.5752,5,0.5175,0.132,79,9.2,-3.4,0.59801,0.8292,9805.96
2020H2,overdraft,4434.26,974.38,0.2197,12,0.586,0.8424,34,9.6,-2.1,0.93931,0.9526,4224.26
2021H2,credit_card,1985.73,550.43,0.2772,4,0.7764,0.4573,52,7.9,4.5,0.72989,0.8048,1598.04
2022H1,overdraft,1189.05,68.29,0.0574,9,0.6779,0.688,44,7.4,2.4,0.64885,0.669,795.5
2019H1,credit_card,7647.25,4932.53,0.645,4,0.4915,0.3689,36,6.8,2.1,0.63893,0.8718,6667.05
2020H2,credit_card,3384.71,1459.21,0.4311,6,0.3797,0.3141,42,9.6,-2.1,0.53555,0.7358,2490.41
2021H1,line_of_credit,46522.93,11539.2,0.248,11,0.242,0.1652,38,8.7,3.8,0.79539,0.8461,39365.06
2020H1,overdraft,5033.52,2151.42,0.4274,4,0.1419,0.6185,33,9.2,-3.4,0.46808,0.6954,3500.47
2022H1,overdraft,5127.25,3235.16,0.631,5,0.8008,0.3099,49,7.4,2.4,0.62884,0.863,4424.99
2023H1,credit_card,2705.61,1218.04,0.4502,10,0.3833,0.1856,48,7.6,0.6,0.30097,0.6157,1665.75
2023H2,credit_card,5926.1,1974.6,0.3332,11,0.8717,0.169,50,7.2,1.4,0.67679,0.7845,4648.92
2022H2,overdraft,4152.01,2583.26,0.6222,10,0.0676,0.3188,26,8.1,-0.8,0.54718,0.8289,3441.65
2022H2,credit_card,5742.52,3559.36,0.6198,5,0.6543,0.5163,29,8.1,-0.8,0.75939,0.9085,5217.22
2022H1,line_of_credit,12707.98,4117.95,0.324,4,0.6124,0.4238,62,7.4,2.4,0.49728,0.6602,8389.61
2023H2,credit_card,10415.76,4574.6,0.4392,8,0.2149,0.3872,60,7.2,1.4,0.48616,0.7118,7414.34
2019H1,line_of_credit,56731.19,18633.95,0.3285,4,0.83,0.5161,36,6.8,2.1,0.8065,0.8701,49359.45
2019H2,overdraft,1889.41,1302.73,0.6895,12,0.461,0.7394,31,6.9,1.9,0.7181,0.9125,1724.02
2020H1,overdraft,3739.79,483.35,0.1292,4,0.7637,0.7942,47,9.2,-3.4,0.69065,0.7306,2732.42
2021H2,credit_card,4127.98,2358.14,0.5713,8,0.5383,0.246,50,7.9,4.5,0.73841,0.8878,3665.01
2021H2,credit_card,6433.41,2486.04,0.3864,5,0.4906,0.412,45,7.9,4.5,0.46876,0.674,4336.39
2021H2,line_of_credit,33091.44,14534.16,0.4392,10,0.442,0.4299,47,7.9,4.5,0.86941,0.9268,30668.09
